GeogLevel,Code,Areaname,LAcode,LAname,obese4_5,obese10_11,weight4_5,weight10_11,TWI,NWI,NIBHC,NIAHC
MSOA,E02000001,City of London 001,E09000001,City of London,0.111 ,0.232 ,0.148 ,0.339 ,1250,900,880,760
MSOA,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,0.134 ,0.240 ,0.242 ,0.421 ,660,570,500,420
MSOA,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,0.122 ,0.240 ,0.237 ,0.422 ,750,600,550,470
MSOA,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,0.144 ,0.210 ,0.274 ,0.370 ,780,590,530,470
MSOA,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,0.112 ,0.242 ,0.227 ,0.397 ,680,550,490,430
MSOA,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,0.161 ,0.257 ,0.277 ,0.422 ,620,520,490,400
MSOA,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,0.139 ,0.273 ,0.262 ,0.423 ,630,550,470,400
MSOA,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,0.131 ,0.299 ,0.255 ,0.448 ,690,560,500,410
MSOA,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,0.100 ,0.251 ,0.221 ,0.411 ,710,560,480,400
MSOA,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,0.115 ,0.251 ,0.227 ,0.443 ,720,590,510,450
MSOA,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,0.111 ,0.254 ,0.224 ,0.412 ,850,650,560,490
MSOA,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,0.121 ,0.234 ,0.255 ,0.395 ,710,570,480,420
MSOA,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,0.167 ,0.248 ,0.283 ,0.366 ,660,540,480,400
MSOA,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,0.133 ,0.268 ,0.252 ,0.390 ,620,530,480,370
MSOA,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.144 ,0.240 ,0.271 ,0.395 ,650,560,530,350
MSOA,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.108 ,0.247 ,0.240 ,0.396 ,800,600,550,440
MSOA,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,0.123 ,0.266 ,0.301 ,0.434 ,640,520,460,390
MSOA,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,0.150 ,0.271 ,0.285 ,0.434 ,740,560,500,420
MSOA,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,0.144 ,0.265 ,0.261 ,0.410 ,650,540,480,400
MSOA,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,0.177 ,0.332 ,0.304 ,0.458 ,680,550,490,420
MSOA,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.172 ,0.296 ,0.310 ,0.447 ,570,510,470,320
MSOA,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,0.157 ,0.273 ,0.293 ,0.422 ,600,500,470,360
MSOA,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,0.119 ,0.247 ,0.254 ,0.421 ,680,550,470,400
MSOA,E02000024,Barnet 001,E09000003,Barnet,0.047 ,0.125 ,0.171 ,0.268 ,1130,770,740,640
MSOA,E02000025,Barnet 002,E09000003,Barnet,0.091 ,0.246 ,0.212 ,0.368 ,990,730,730,620
MSOA,E02000026,Barnet 003,E09000003,Barnet,0.110 ,0.185 ,0.262 ,0.318 ,1040,720,700,600
MSOA,E02000027,Barnet 004,E09000003,Barnet,0.084 ,0.189 ,0.213 ,0.309 ,820,650,600,520
MSOA,E02000028,Barnet 005,E09000003,Barnet,0.068 ,0.161 ,0.147 ,0.349 ,1170,810,800,660
MSOA,E02000029,Barnet 006,E09000003,Barnet,0.087 ,0.230 ,0.228 ,0.374 ,930,710,660,550
MSOA,E02000030,Barnet 007,E09000003,Barnet,0.061 ,0.217 ,0.177 ,0.326 ,1110,780,830,660
MSOA,E02000031,Barnet 008,E09000003,Barnet,0.112 ,0.199 ,0.228 ,0.366 ,1080,760,790,660
MSOA,E02000032,Barnet 009,E09000003,Barnet,0.091 ,0.136 ,0.193 ,0.272 ,1070,740,670,630
MSOA,E02000033,Barnet 010,E09000003,Barnet,0.123 ,0.198 ,0.245 ,0.354 ,900,680,630,540
MSOA,E02000034,Barnet 011,E09000003,Barnet,0.068 ,0.188 ,0.216 ,0.344 ,960,720,710,570
MSOA,E02000035,Barnet 012,E09000003,Barnet,0.102 ,0.190 ,0.221 ,0.335 ,1000,770,730,600
MSOA,E02000036,Barnet 013,E09000003,Barnet,0.128 ,0.235 ,0.295 ,0.390 ,960,740,670,570
MSOA,E02000037,Barnet 014,E09000003,Barnet,0.103 ,0.146 ,0.222 ,0.300 ,1040,820,780,630
MSOA,E02000038,Barnet 015,E09000003,Barnet,0.113 ,0.182 ,0.182 ,0.364 ,1020,740,720,580
MSOA,E02000039,Barnet 016,E09000003,Barnet,0.081 ,0.183 ,0.216 ,0.317 ,1180,810,770,660
MSOA,E02000040,Barnet 017,E09000003,Barnet,0.129 ,0.169 ,0.274 ,0.333 ,950,690,680,550
MSOA,E02000041,Barnet 018,E09000003,Barnet,0.108 ,0.203 ,0.244 ,0.358 ,960,710,670,560
MSOA,E02000042,Barnet 019,E09000003,Barnet,0.104 ,0.182 ,0.211 ,0.318 ,1000,770,690,590
MSOA,E02000043,Barnet 020,E09000003,Barnet,0.052 ,0.121 ,0.183 ,0.221 ,1360,1020,920,810
MSOA,E02000044,Barnet 021,E09000003,Barnet,0.128 ,0.211 ,0.253 ,0.354 ,910,710,620,500
MSOA,E02000045,Barnet 022,E09000003,Barnet,0.109 ,0.212 ,0.237 ,0.388 ,900,690,650,520
MSOA,E02000046,Barnet 023,E09000003,Barnet,0.065 ,0.134 ,0.186 ,0.246 ,1100,800,760,590
MSOA,E02000047,Barnet 024,E09000003,Barnet,0.120 ,0.251 ,0.259 ,0.391 ,750,590,520,420
MSOA,E02000048,Barnet 025,E09000003,Barnet,0.085 ,0.143 ,0.206 ,0.295 ,1090,790,760,630
